type,name,value,actual_value
accurateLongPassPerGame,"Anthony Martial, Forward",29.17,0.57
accurateThroughBallPerGame,"Anthony Martial, Forward",75.0,0.07
passing_rating,"Anthony Martial, Forward",54.17,6.94
shotSixYardBox,"Anthony Martial, Forward",62.5,0.0
shotPenaltyArea,"Anthony Martial, Forward",79.17,0.93
shotOboxTotal,"Anthony Martial, Forward",87.5,0.71
shotsTotal,"Anthony Martial, Forward",79.17,1.64
detailed_rating,"Anthony Martial, Forward",54.17,6.94
goal,"Luke Shaw, Defender",62.5,0.0
assistTotal,"Luke Shaw, Defender",50.0,0.0
shotsPerGame,"Luke Shaw, Defender",50.0,0.43
aerialWonPerGame,"Luke Shaw, Defender",62.5,1.14
manOfTheMatch,"Luke Shaw, Defender",75.0,0.0
passSuccess,"Luke Shaw, Defender",54.17,85.71
all_rating,"Luke Shaw, Defender",50.0,6.93
goalOwn,"Luke Shaw, Defender",95.83,0.0
tacklePerGame,"Luke Shaw, Defender",50.0,1.14
interceptionPerGame,"Luke Shaw, Defender",79.17,1.71
foulsPerGame,"Luke Shaw, Defender",45.83,0.57
offsideWonPerGame,"Luke Shaw, Defender",62.5,0.0
clearancePerGame,"Luke Shaw, Defender",70.83,2.43
wasDribbledPerGame,"Luke Shaw, Defender",62.5,0.57
outfielderBlockPerGame,"Luke Shaw, Defender",62.5,0.14
defensive_rating,"Luke Shaw, Defender",50.0,6.93
keyPassPerGame,"Luke Shaw, Defender",54.17,0.57
dribbleWonPerGame,"Luke Shaw, Defender",83.33,1.14
foulGivenPerGame,"Luke Shaw, Defender",41.67,0.57
offsideGivenPerGame,"Luke Shaw, Defender",41.67,0.0
dispossessedPerGame,"Luke Shaw, Defender",50.0,0.57
turnoverPerGame,"Luke Shaw, Defender",79.17,1.0
offensive_rating,"Luke Shaw, Defender",50.0,6.93
totalPassesPerGame,"Luke Shaw, Defender",62.5,38.0
accurateCrossesPerGame,"Luke Shaw, Defender",70.83,0.43
accurateLongPassPerGame,"Luke Shaw, Defender",33.33,0.86
accurateThroughBallPerGame,"Luke Shaw, Defender",70.83,0.0
passing_rating,"Luke Shaw, Defender",50.0,6.93
shotSixYardBox,"Luke Shaw, Defender",62.5,0.0
shotPenaltyArea,"Luke Shaw, Defender",37.5,0.14
shotOboxTotal,"Luke Shaw, Defender",66.67,0.29
shotsTotal,"Luke Shaw, Defender",50.0,0.43
detailed_rating,"Luke Shaw, Defender",50.0,6.93
goal,"Wayne Rooney, Forward",75.0,2.0
assistTotal,"Wayne Rooney, Forward",100.0,5.0
shotsPerGame,"Wayne Rooney, Forward",83.33,1.65
aerialWonPerGame,"Wayne Rooney, Forward",33.33,0.29
manOfTheMatch,"Wayne Rooney, Forward",75.0,0.0
passSuccess,"Wayne Rooney, Forward",41.67,84.6
all_rating,"Wayne Rooney, Forward",45.83,6.82
goalOwn,"Wayne Rooney, Forward",95.83,0.0
tacklePerGame,"Wayne Rooney, Forward",41.67,0.94
interceptionPerGame,"Wayne Rooney, Forward",37.5,0.53
foulsPerGame,"Wayne Rooney, Forward",54.17,0.82
offsideWonPerGame,"Wayne Rooney, Forward",62.5,0.0
clearancePerGame,"Wayne Rooney, Forward",33.33,0.29
wasDribbledPerGame,"Wayne Rooney, Forward",58.33,0.47
outfielderBlockPerGame,"Wayne Rooney, Forward",54.17,0.12
defensive_rating,"Wayne Rooney, Forward",45.83,6.82
keyPassPerGame,"Wayne Rooney, Forward",75.0,1.35
