PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Boris Diaw_2564_San Antonio Spurs_1610612759,0.491,0.426,0.084
Roy Hibbert_201579_Los Angeles Lakers_1610612747,0.676,0.279,0.044
Channing Frye_101112_Orlando Magic_1610612753,0.898,0.099,0.003
Thabo Sefolosha_200757_Atlanta Hawks_1610612737,0.746,0.235,0.019
Festus Ezeli_203105_Golden State Warriors_1610612744,0.842,0.136,0.023
Trevor Booker_202344_Utah Jazz_1610612762,0.752,0.24,0.008
Anthony Morrow_201627_Oklahoma City Thunder_1610612760,0.787,0.207,0.006
Tyler Zeller_203092_Boston Celtics_1610612738,0.878,0.122,0
Shaun Livingston_2733_Golden State Warriors_1610612744,0.404,0.46,0.136
Cameron Payne_1626166__1610612760,0.386,0.274,0.339
Ronnie Price_101179__1610612756,0.571,0.319,0.11
Brandon Bass_101138_Los Angeles Lakers_1610612747,0.681,0.278,0.041
Norman Powell_1626181_Toronto Raptors_1610612761,0.59,0.349,0.061
Larry Nance Jr._1626204_Los Angeles Lakers_1610612747,0.837,0.16,0.003
Rondae Hollis-Jefferson_1626178_Brooklyn Nets_1610612751,0.565,0.399,0.036
Tyson Chandler_2199_Phoenix Suns_1610612756,0.907,0.086,0.006
Timofey Mozgov_202389_Cleveland Cavaliers_1610612739,0.838,0.14,0.022
Aron Baynes_203382_Detroit Pistons_1610612765,0.89,0.102,0.008
Lavoy Allen_202730_Indiana Pacers_1610612754,0.897,0.103,0
Anthony Tolliver_201229_Detroit Pistons_1610612765,0.934,0.066,0
Tim Frazier_204025__1610612740,0.201,0.45,0.349
Joakim Noah_201149_Chicago Bulls_1610612741,0.811,0.182,0.008
Chris McCullough_1626191_Brooklyn Nets_1610612751,0.807,0.193,0
Sasha Vujacic_2756__1610612752,0.79,0.188,0.022
Beno Udrih_2757__1610612748,0.433,0.34,0.227
JJ Hickson_201581_Washington Wizards_1610612743,0.761,0.219,0.019
Jonathon Simmons_203613_San Antonio Spurs_1610612759,0.469,0.427,0.104
Richaun Holmes_1626158_Philadelphia 76ers_1610612755,0.833,0.167,0
Troy Daniels_203584__1610612766,0.818,0.166,0.016
JaKarr Sampson_203960_Denver Nuggets_1610612755,0.577,0.397,0.025
Marcelo Huertas_1626273_Los Angeles Lakers_1610612747,0.326,0.404,0.27
Justin Holiday_203200__1610612741,0.68,0.276,0.044
Tyus Jones_1626145__1610612750,0.361,0.31,0.329
Anthony Brown_1626148__1610612747,0.728,0.264,0.008
Jarell Martin_1626185_Memphis Grizzlies_1610612763,0.724,0.267,0.009
Tiago Splitter_201168_Atlanta Hawks_1610612737,0.727,0.26,0.013
Dwight Powell_203939_Dallas Mavericks_1610612742,0.919,0.081,0
Amar'e Stoudemire_2405_Miami Heat_1610612748,0.738,0.231,0.032
Kevin Seraphin_202338_New York Knicks_1610612752,0.534,0.387,0.078
James Johnson_201949_Toronto Raptors_1610612761,0.468,0.481,0.051
Richard Jefferson_2210_Cleveland Cavaliers_1610612739,0.735,0.252,0.013
Kyle O'Quinn_203124_New York Knicks_1610612752,0.649,0.284,0.066
CJ Watson_201228__1610612753,0.496,0.365,0.139
Steve Blake_2581__1610612765,0.508,0.25,0.242
Ryan Kelly_203527_Los Angeles Lakers_1610612747,0.671,0.309,0.02
Thomas Robinson_203080_Brooklyn Nets_1610612751,0.694,0.289,0.017
Ed Davis_202334_Portland Trail Blazers_1610612757,0.829,0.165,0.006
Tyler Ennis_203898__1610612749,0.337,0.396,0.267
Andrew Bogut_101106_Golden State Warriors_1610612744,0.875,0.11,0.015
JaVale McGee_201580_Dallas Mavericks_1610612742,0.799,0.194,0.007
Andre Roberson_203460_Oklahoma City Thunder_1610612760,0.879,0.11,0.011
Nemanja Bjelica_202357_Minnesota Timberwolves_1610612750,0.77,0.204,0.026
Kendall Marshall_203088__1610612755,0.453,0.316,0.231
Miles Plumlee_203101_Milwaukee Bucks_1610612749,0.738,0.253,0.009
Kyle Anderson_203937_San Antonio Spurs_1610612759,0.405,0.503,0.092
Rashad Vaughn_1626173__1610612749,0.788,0.205,0.008
Cole Aldrich_202332_Los Angeles Clippers_1610612746,0.836,0.16,0.004
