PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Nene_2403_Washington Wizards_1610612764,0.641,0.169,0.099,0.089,0.003
Tyler Johnson_204020_Miami Heat_1610612748,0.467,0.095,0.107,0.165,0.165
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,0.386,0.112,0.09,0.192,0.221
Corey Brewer_201147_Houston Rockets_1610612745,0.565,0.165,0.135,0.133,0.002
Ben McLemore_203463_Sacramento Kings_1610612758,0.588,0.169,0.118,0.116,0.009
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.35,0.131,0.157,0.208,0.154
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,0.858,0.101,0.024,0.018,0
Jason Smith_201160_Orlando Magic_1610612753,0.863,0.105,0.023,0.01,0
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.61,0.149,0.143,0.097,0.002
Lance Thomas_202498_New York Knicks_1610612752,0.524,0.259,0.157,0.055,0.005
Wesley Johnson_202325_Los Angeles Clippers_1610612746,0.821,0.115,0.047,0.017,0
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,0.715,0.127,0.074,0.079,0.005
Shane Larkin_203499_Brooklyn Nets_1610612751,0.218,0.136,0.106,0.208,0.333
Josh Smith_2746_Houston Rockets_1610612745,0.676,0.117,0.074,0.106,0.026
Marreese Speights_201578_Golden State Warriors_1610612744,0.776,0.119,0.086,0.02,0
JaMychal Green_203210_Memphis Grizzlies_1610612763,0.75,0.15,0.063,0.037,0
Garrett Temple_202066_Washington Wizards_1610612764,0.608,0.117,0.111,0.145,0.02
Brandon Jennings_201943__1610612765,0.267,0.102,0.073,0.234,0.323
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.771,0.139,0.067,0.022,0
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.611,0.224,0.059,0.094,0.012
Jose Calderon_101181_New York Knicks_1610612752,0.438,0.102,0.088,0.119,0.252
Patrick Patterson_202335_Toronto Raptors_1610612761,0.711,0.111,0.113,0.062,0.002
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.79,0.127,0.055,0.028,0
PJ Hairston_203798__1610612766,0.663,0.103,0.111,0.103,0.02
David Lee_101135_Boston Celtics_1610612742,0.621,0.179,0.094,0.106,0
Luke Babbitt_202337__1610612740,0.48,0.103,0.189,0.224,0.004
Mike Dunleavy_2399_Chicago Bulls_1610612741,0.674,0.182,0.107,0.037,0
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.733,0.202,0.051,0.014,0
Jared Dudley_201162_Washington Wizards_1610612764,0.825,0.119,0.033,0.023,0
Greivis Vasquez_202349__1610612749,0.435,0.087,0.116,0.232,0.13
Cody Zeller_203469_Charlotte Hornets_1610612766,0.707,0.201,0.053,0.039,0
Justise Winslow_1626159_Miami Heat_1610612748,0.58,0.167,0.102,0.135,0.015
Randy Foye_200751__1610612743,0.43,0.089,0.085,0.195,0.2
Paul Pierce_1718__1610612746,0.655,0.139,0.131,0.063,0.013
Devin Harris_2734_Dallas Mavericks_1610612742,0.489,0.099,0.134,0.22,0.056
Rudy Gobert_203497_Utah Jazz_1610612762,0.836,0.099,0.048,0.014,0.003
David West_2561_San Antonio Spurs_1610612759,0.7,0.166,0.083,0.049,0.002
TJ McConnell_204456_Philadelphia 76ers_1610612755,0.194,0.086,0.073,0.313,0.334
Donald Sloan_202388_Brooklyn Nets_1610612751,0.338,0.063,0.103,0.278,0.218
