PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,-0.037,-0.016,-0.049,-0.078,-0.057,-0.016
Jason Smith_201160_Orlando Magic_1610612753,0.027,0.045,0.014,-0.035,-0.028,0.084
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.015,0.048,0.003,0.016,0.012,0.025
Lance Thomas_202498_New York Knicks_1610612752,-0.032,-0.035,-0.034,-0.036,-0.061,-0.01
Wesley Johnson_202325_Los Angeles Clippers_1610612746,-0.001,0.009,-0.003,0.028,0.017,-0.012
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,-0.003,-0.134,0.006,-0.026,-0.01,-0.036
Shane Larkin_203499_Brooklyn Nets_1610612751,0.007,0.026,0.005,0.056,0.021,0.005
Josh Smith_2746_Houston Rockets_1610612745,-0.037,0.028,-0.059,-0.054,-0.056,-0.024
Marreese Speights_201578_Golden State Warriors_1610612744,-0.004,-0.012,-0.016,-0.055,-0.016,-0.001
JaMychal Green_203210_Memphis Grizzlies_1610612763,-0.013,0.017,-0.019,-0.036,-0.044,-0.014
Garrett Temple_202066_Washington Wizards_1610612764,0.013,0.072,-0.014,0.009,-0.008,0.039
Brandon Jennings_201943__1610612765,-0.029,0.015,-0.05,0.053,-0.001,-0.045
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.013,0.02,0.001,-0.046,-0.021,0.001
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.014,-0.068,0.011,-0.062,-0.026,0.026
Jose Calderon_101181_New York Knicks_1610612752,0.031,-0.014,0.048,0.147,0.102,-0.016
Patrick Patterson_202335_Toronto Raptors_1610612761,-0.029,0.004,-0.033,-0.057,-0.043,-0.002
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.002,-0.066,0.0,-0.019,-0.009,-0.022
PJ Hairston_203798__1610612766,0.029,0.089,0.005,0.003,-0.029,0.09
David Lee_101135_Boston Celtics_1610612742,0.002,0.037,-0.013,-0.029,-0.02,0.018
Luke Babbitt_202337__1610612740,0.034,0.028,0.035,0.072,0.023,0.046
Mike Dunleavy_2399_Chicago Bulls_1610612741,-0.003,-0.049,0.035,0.015,0.0,0.017
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.098,0.032,0.103,0.135,0.093,0.09
