PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Patty Mills_201988_San Antonio Spurs_1610612759,0.7,0.1,1.6,0.5,0.8,0.677
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.8,1.4,3.4,2.8,4.8,0.586
Kevin Martin_2755_San Antonio Spurs_1610612750,0.5,0.1,1.7,0.6,0.8,0.773
Jordan Hill_201941_Indiana Pacers_1610612754,0.5,0.5,4.0,2.9,5.5,0.53
Nikola Jokic_203999_Denver Nuggets_1610612743,1.0,0.6,4.7,2.7,5.6,0.493
Aaron Gordon_203932__1610612753,0.8,0.7,4.6,1.9,3.6,0.527
Manu Ginobili_1938_San Antonio Spurs_1610612759,1.1,0.2,2.1,0.6,1.0,0.576
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.6,0.3,2.2,1.0,1.9,0.511
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.6,0.1,2.0,0.8,1.2,0.681
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.5,0.3,2.5,0.5,1.2,0.44
Mo Williams_2590__1610612739,0.3,0.1,1.6,0.4,0.7,0.567
Archie Goodwin_203462_Phoenix Suns_1610612756,0.5,0.2,2.0,0.7,1.2,0.557
Tony Allen_2754_Memphis Grizzlies_1610612763,1.7,0.3,3.0,0.8,1.5,0.557
Terrence Jones_203093_Houston Rockets_1610612745,0.5,0.8,3.0,2.3,4.4,0.516
Mario Chalmers_201596_Memphis Grizzlies_1610612763,1.4,0.2,2.2,0.6,1.0,0.629
Cory Joseph_202709__1610612761,0.8,0.3,2.1,0.9,2.0,0.458
Tim Duncan_1495_San Antonio Spurs_1610612759,0.8,1.3,5.4,3.3,7.0,0.47
Toney Douglas_201962_New Orleans Pelicans_1610612740,1.1,0.1,1.9,0.5,0.9,0.615
Ramon Sessions_201196_Washington Wizards_1610612764,0.6,0.1,2.2,0.5,1.0,0.57
Meyers Leonard_203086_Portland Trail Blazers_1610612757,0.1,0.3,4.3,2.0,3.9,0.525
Langston Galloway_204038_New York Knicks_1610612752,0.9,0.3,3.0,0.7,1.5,0.492
PJ Tucker_200782_Phoenix Suns_1610612756,1.3,0.2,4.2,1.1,2.2,0.497
Danny Green_201980_San Antonio Spurs_1610612759,1.0,0.8,3.2,1.2,2.4,0.492
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,1.1,1.2,5.2,3.7,7.1,0.526
Derrick Williams_202682_New York Knicks_1610612752,0.4,0.1,3.1,0.5,1.1,0.483
Bobby Portis_1626171_Chicago Bulls_1610612741,0.4,0.4,3.5,2.0,3.7,0.552
Darrell Arthur_201589_Denver Nuggets_1610612743,0.8,0.7,3.0,2.0,4.1,0.486
Jon Leuer_202720_Phoenix Suns_1610612756,0.6,0.4,4.4,2.2,4.3,0.507
Carl Landry_201171_Philadelphia 76ers_1610612755,0.3,0.3,2.7,2.0,3.3,0.602
Nick Young_201156__1610612747,0.4,0.1,1.5,0.9,1.4,0.59
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.6,0.1,2.7,0.6,1.0,0.576
Taj Gibson_201959_Chicago Bulls_1610612741,0.6,1.1,4.1,2.5,5.2,0.48
Aaron Brooks_201166__1610612741,0.4,0.1,1.2,0.5,0.9,0.576
Nene_2403_Washington Wizards_1610612764,0.9,0.5,3.6,2.2,4.4,0.504
Tyler Johnson_204020_Miami Heat_1610612748,0.7,0.4,2.3,0.9,2.0,0.431
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,0.6,0.1,1.7,0.8,1.5,0.5
Corey Brewer_201147_Houston Rockets_1610612745,1.0,0.2,1.9,1.0,1.7,0.604
Ben McLemore_203463_Sacramento Kings_1610612758,0.8,0.1,1.7,0.9,1.6,0.581
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.6,0.3,1.9,0.8,1.7,0.485
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,0.7,2.3,10.3,3.7,8.0,0.464
Jason Smith_201160_Orlando Magic_1610612753,0.4,0.9,2.2,2.2,4.2,0.524
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.5,0.5,3.3,2.3,4.2,0.545
Lance Thomas_202498_New York Knicks_1610612752,0.4,0.1,1.6,0.6,1.3,0.459
Wesley Johnson_202325_Los Angeles Clippers_1610612746,1.1,0.7,2.6,1.4,2.6,0.522
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,0.2,0.3,3.6,1.9,3.6,0.526
Shane Larkin_203499_Brooklyn Nets_1610612751,1.2,0.2,1.9,0.9,1.6,0.553
Josh Smith_2746_Houston Rockets_1610612745,0.6,0.9,2.6,1.7,3.8,0.447
Marreese Speights_201578_Golden State Warriors_1610612744,0.3,0.5,2.3,1.6,3.2,0.489
JaMychal Green_203210_Memphis Grizzlies_1610612763,0.6,0.4,3.0,1.2,2.5,0.474
Garrett Temple_202066_Washington Wizards_1610612764,0.9,0.2,2.2,0.9,1.8,0.503
Brandon Jennings_201943__1610612765,0.6,0.1,1.7,0.5,0.8,0.667
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.9,1.1,5.2,3.3,6.6,0.497
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.8,1.0,5.2,4.2,7.9,0.525
Jose Calderon_101181_New York Knicks_1610612752,0.9,0.1,2.9,0.8,1.5,0.57
Patrick Patterson_202335_Toronto Raptors_1610612761,0.7,0.4,3.3,1.7,3.4,0.49
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.8,0.3,6.2,3.8,7.3,0.522
PJ Hairston_203798__1610612766,0.5,0.2,2.3,0.7,1.5,0.469
David Lee_101135_Boston Celtics_1610612742,0.4,0.5,3.7,2.1,3.8,0.544
Luke Babbitt_202337__1610612740,0.2,0.1,2.6,1.4,2.4,0.598
Mike Dunleavy_2399_Chicago Bulls_1610612741,0.5,0.3,2.4,1.2,2.0,0.613
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.1,0.2,1.5,1.3,2.0,0.656
Jared Dudley_201162_Washington Wizards_1610612764,0.9,0.2,2.9,2.4,4.4,0.535
Greivis Vasquez_202349__1610612749,0.4,0.0,1.8,0.5,1.0,0.522
Cody Zeller_203469_Charlotte Hornets_1610612766,0.8,0.9,4.3,2.8,5.9,0.481
Justise Winslow_1626159_Miami Heat_1610612748,0.9,0.3,4.1,1.7,3.2,0.547
Randy Foye_200751__1610612743,0.5,0.4,1.6,0.6,1.2,0.515
Paul Pierce_1718__1610612746,0.5,0.3,2.6,1.2,2.4,0.488
Devin Harris_2734_Dallas Mavericks_1610612742,0.9,0.2,1.9,0.8,1.2,0.688
Rudy Gobert_203497_Utah Jazz_1610612762,0.7,2.2,7.5,3.4,8.2,0.41
