PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.065,0.258,0.032,0.242,0.339,0.065,0.279
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.203,0.297,0.109,0.031,0.047,0.109,0.3
Trey Lyles_1626168_Utah Jazz_1610612762,0.164,0.41,0.148,0.082,0.098,0.049,0.292
Amir Johnson_101161_Boston Celtics_1610612738,0.055,0.055,0.027,0.411,0.438,0.027,0.102
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.05,0.3,0.05,0.3,0.317,0.217,0.003
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.067,0.367,0.067,0.233,0.3,0.033,0.334
Ty Lawson_201951__1610612745,0.263,0.211,0.281,0.035,0.035,0.0,0.303
Mario Hezonja_1626209_Orlando Magic_1610612753,0.115,0.393,0.197,0.033,0.033,0.049,0.459
Tony Snell_203503_Chicago Bulls_1610612741,0.17,0.453,0.189,0.057,0.038,0.019,0.457
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.176,0.412,0.118,0.059,0.078,0.059,0.527
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.0,0.025,0.0,0.588,0.575,0.05,0.0
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.187,0.234,0.031,0.156,0.172,0.031,0.342
Josh Richardson_1626196_Miami Heat_1610612748,0.212,0.455,0.152,0.03,0.03,0.0,0.423
